ITEM|DESCR|ITEMCLASS|U_UOM|U_LONG_DESCR|U_STATUS|U_MAT_TYPE_CD|U_PROCESS_NM|U_PROCESSNODEUPPERCASE_TXT|U_PRODUCTNBR|U_CAPACITY_GROUP|U_CAPACITY_CORRIDOR|U_PS_DOT_PROCESS|U_MM_CODE_NAME|U_ITEM_LVL1|ITEMLOCOPPARAM|U_VERTICAL_SEGMENT|U_MARKET_CODE_NAME|U_MFG_PKG_TECHNOLOGY|U_DIE_CODE_NAME|U_PRIMARY_SI_CODE_NAME|U_PRODUCT_LINE|U_DLCP_PROCESS_CODE|U_INTERNAL_STEPPING|U_INTERNAL_REVISION|U_MFG_DEVICE_NAME|U_PERFORMANCE_GRADE_CODE|U_SPEC_SEQUENTIAL_NUMBER|U_MFG_STAGE|U_FUNCTIONAL_DESIGN_NAME|U_PLANMODULE
100000000027|DIE PREP IO Device|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-IOE-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000028|DIE PREP Graphics Processor Unit|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000029|DIE PREP Central Processor Unit|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1276|INTEL 4-1|1276.32|METEOR LAKE-CPU-68|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000030|DIE PREP SOC Chip|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000031|DIE PREP Graphics Processor Unit|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000032|DIE PREP Central Processor Unit|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1276|INTEL 4-1|1276.32|METEOR LAKE-CPU-68|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000033|DIE PREP Graphics Processor Unit|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000034|SORT Foveros|F_SORT|WAF|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000035|SUBSTRATE,FCBGA18,MTL-P68225|SUB_CORE|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|NONE|NONE|NONE|METEOR LAKE 6/8+2 P BGA|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000036|SUBSTRATE,FCBGA18,MTL-P68225|SUB_CORE|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|NONE|NONE|NONE|METEOR LAKE 6/8+2 P BGA|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000101|FAB SOC Chip|F_FAB|WAF|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000102|FAB IO Device|F_FAB|WAF|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-IOE-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000103|FAB Graphics Processor Unit|F_FAB|WAF|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000110|PROC DIE PREP SOC Foveros|F_PROC_DIE_PREP|DIE|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000111|PROC DIE PREP IO Device|F_PROC_DIE_PREP|DIE|NONE|PRODUCTION|PROC|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-IOE-P|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000112|PROC DIE PREP Graphics Processor Unit|F_PROC_DIE_PREP|DIE|NONE|PRODUCTION|PROC|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000113|PROC DIE PREP Central Processor Unit|F_PROC_DIE_PREP|DIE|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1276|INTEL 4-1|1276.32|METEOR LAKE-CPU-68|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000001001|Memory Package|MEMORY_PACKAGE|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|NONE|NONE|NONE|CAYMON POINT|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000001002|SORT GRAPHICS PROCESSING UNIT|F_SORT|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5.3|CAYMAN POINT-GPU|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000001003|BUMP INTEGRATED PASSIVE DEVICE|F_BUMP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N013.2|CAYMAN POINT-IPD|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002001|Memory Package|MEMORY_PACKAGE|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|NONE|NONE|NONE|LUNAR LAKE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002002|STACK SILICON Stacked|F_STACK_SILICON|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002003|DIE PREP Thermal Shield Die|F_DIE_PREP|DIE|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1224|C4 ONLY|1224|FLATTOP MOUNTAIN-TSD-4|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002004|DIE PREP Central Processor Unit|F_DIE_PREP|DIE|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|NONE|NONE|1001N3B.3|LUNAR LAKE-CPU-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002005|DIE PREP SOC Chip|F_DIE_PREP|DIE|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|LUNAR LAKE SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002006|DIE PREP SOC Chip|F_DIE_PREP|DIE|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|LUNAR LAKE SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002007|Substrate SUBCORE|SUB_CORE|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|NONE|NONE|NONE|SUBSTRATE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002008|SORT Foveros|F_SORT|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002009|FAB Central Processor Unit|F_FAB|WAF|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N3B.3|LUNAR LAKE-CPU-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002010|FAB SOC Chip|F_FAB|WAF|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|LUNAR LAKE SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002011|PROC TEST Processor|F_PROC_TEST|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002012|PROC STACK Processor|F_PROC_STACK_SI|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|NONE|NONE|NONE|LUNAR LAKE|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002013|PROC DIE PREP Foveros|F_PROC_DIE_PREP|WAF|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002014|PROC DIE PREP Thermal Shield Die|F_PROC_DIE_PREP|WAF|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1224|C4 ONLY|1224|FLATTOP MOUNTAIN-TSD-4|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002015|PROC DIE PREP Central Processor Unit|F_PROC_DIE_PREP|WAF|NONE|PRODUCTION|PROC|NONE|NONE|NONE|NONE|NONE|1001N3B.3|LUNAR LAKE-CPU-M442|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002016|PROC DIE PREP SOC Chip|F_PROC_DIE_PREP|WAF|NONE|PRODUCTION|PROC|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|LUNAR LAKE SCC-M|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000002023|TEST Central Processor Unit|F_TEST|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-001-049|GY2P564VBAB11N|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-001-050|GY2P564VBAB13N|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1276|INTEL 4-1|1276.32|METEOR LAKE-CPU-68|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-280-868|SORT Foveros|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|SORT|NONE|BY_IF
2000-280-869|FAB Foveros|F_FAB|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-280-870|DIE PREP Foveros|F_DIE_PREP|DIE|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-281-391|SORT Central Processor Unit|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1276|INTEL 4-1|1276.32|METEOR LAKE-CPU-68|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|S|NONE|NONE|NONE|NONE|SORT|NONE|BY_IF
2000-281-396|FAB Central Processor Unit|F_FAB|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1276|INTEL 4-1|1276.32|METEOR LAKE-CPU-68|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|S|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-281-424|BUMP SOC Chip|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|SOC2000|BY_IF
2000-281-427|SORT SOC Chip|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|SORT|SOC2000|BY_IF
2000-281-446|BUMP IO Device|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-IOE-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-281-452|BUMP Graphics Processor Unit|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-281-512|SORT IO Device|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-IOE-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|SORT|NONE|BY_IF
2000-281-514|SORT Graphics Processor Unit|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5P.3|METEOR LAKE-GPU-P|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|SORT|NONE|BY_IF
2000-285-609|FAB Foveros|F_FAB|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-285-610|SORT Foveros|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|WAFERSORT|NONE|BY_IF
2000-285-677|FAB Thermal Shield Die|F_FAB|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1224|C4 ONLY|1224|FLATTOP MOUNTAIN-TSD-4|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-285-678|SORT Thermal Shield Die|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1224|C4 ONLY|1224|FLATTOP MOUNTAIN-TSD-4|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|WAFERSORT|NONE|BY_IF
2000-288-661|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-288-665|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-288-667|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-288-671|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-288-677|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-291-742|ASSEMBLY Central Processor Unit|F_ASSEMBLY|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|UH|NONE|NONE|NONE|NONE|NONE|TEST|NONE|BY_IF
2000-291-749|ASSEMBLY Central Processor Unit|F_ASSEMBLY|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|UH|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-293-667|BUMP Central Processor Unit|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|1001N3B.3|LUNAR LAKE-CPU-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-293-669|SORT Central Processor Unit|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|1001N3B.3|LUNAR LAKE-CPU-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-293-673|SORT SOC Chip|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|LUNAR LAKE SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-293-678|BUMP Central Processor Unit|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|LUNAR LAKE SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-293-719|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-293-724|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-293-736|ASSEMBLY Central Processor Unit|F_ASSEMBLY|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|UH|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-295-273|STACK COMBO Stacked|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|STACK|NONE|BY_IF
2000-301-518|DIE PREP GRAPHICS PROCESSING UNIT|F_DIE_PREP|DIE|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N5.3|CAYMAN POINT-GPU|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
