SEQNUM|BATCHNUM|PROCESSID|SOURCE|EXCEPTION|EXCEPTIONDATE|PRODUCTIONMETHOD|FUNCTIONNUM|WHEN|DESCR|USERID|FUNCTIONNAME|LOADQTY|SUPPLYQTY|RES|SOURCING|STEPNUM|LOC|ITEM|PRODFAMILY|REVIEWEDSTATUS|CATEGORY|SEVERITY|LASTUPDATEDON|LASTUPDATEDBY|DUR|OVERUTILQTY|UTILPCT|MINVAL|MAXVAL|SCHEDVAL|VIOLATIONVAL|GROUPNAME|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
148|50|11501| |6801|10-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
152|50|11501| |6801|10-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|100|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
153|50|11501| |6801|11-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
155|50|11501| |6801|11-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
157|50|11501| |6801|11-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
159|50|11501| |6801|11-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
161|50|11501| |6801|11-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
163|50|11501| |6801|12-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
164|50|11501| |6801|12-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
168|50|11501| |6801|12-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
170|50|11501| |6801|12-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
171|50|11501| |6801|12-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
174|50|11501| |6801|13-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
175|50|11501| |6801|13-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
176|50|11501| |6801|13-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|100|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
179|50|11501| |6801|13-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|125|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
181|50|11501| |6801|15-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
183|50|11501| |6801|15-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
184|50|11501| |6801|16-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
187|50|11501| |6801|16-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|125|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
188|50|11501| |6801|17-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
191|50|11501| |6801|17-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
192|50|11501| |6801|17-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
195|50|11501| |6801|17-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|100|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
196|50|11501| |6801|19-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
199|50|11501| |6801|22-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
200|50|11501| |6801|22-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|100|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
203|50|11501| |6801|29-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
206|50|11501| |6801|23-SEP-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75.165367|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
207|50|11501| |6801|23-SEP-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|75.165367|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
